Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-moyenne ; pression artérielle pulmonaire ; Avec pression PAP ; ;
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-diast ; Pression artérielle pulmonaire ; Pression Dia PAP ; ;
Surveillance des signes vitaux ; Surveillance de la fréquence respiratoire spontanée ; SpO2 / Fréquence respiratoire ; Fréquence respiratoire spontanée ; ;
Surveillance des signes vitaux ; MDD_SAO2_2 ; SaO2 - Diagnostic ; SpO2 - Diagnostic ; ;
Surveillance des signes vitaux ; Surveillance_MDD_Temp ; Température ; Température ; ;
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure de l'oreille ; Mesure de l'oreille
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure rectale ; Mesure rectale
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure sublinguale ; Mesure sublinguale
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure axillaire ; Mesure axillaire
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; --- ; ---
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; RD Premier diagnostic ; RD Premier diagnostic
Surveillance des signes vitaux ; Surveillance du TBlut ; Température du sang ; TBlut ; ;
Surveillance des signes vitaux ; Surveillance MDD_Temp1 ; Surveillance supplémentaire de la température ; Surveillance supplémentaire de la température ; ;
Valeurs vitales ;Hémodynamique ;MDD_ZVD ;ZVD ;ZVD (mmHg) ; ;
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Point de mesure : V. Jugularis int. ; Point de mesure : V. Jugularis int.
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Point de mesure : Aine ;Point de mesure : Aine
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Point de mesure Subclavia ;Point de mesure Subclavia
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;sans ventilation ;sans ventilation
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; avec ventilation PEEP........ ; avec ventilation PEEP........
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Courbe non remarquable ; Courbe non remarquable
Constantes vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Onde A présente ;Onde A présente
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Vague V présente ; Vague V présente
Valeurs vitales ; Hémodynamique PICCO ; MDD_C.I. ; CI (3-5) ; IC [l/min/m2] Index Cardiaque ; ;
Surveillance des signes vitaux ; MDD_SQI ; SQI ; SQI ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_SV ;SV ;SV [ml] Volume d'éjection systolique ; ;
Surveillance des signes vitaux ; MDD_Tblood ; Température ; Température du sang (PICCO) ; ;
Surveillance des signes vitaux ; MDD_BIS ; BIS ; BIS ; ;
Surveillance des signes vitaux ; Surveillance MDD_Temp2 ; Surveillance supplémentaire de la température 2 ; Surveillance supplémentaire de la température 2 ;;
Valeurs vitales; Hémodynamique PICCO; MDD_SVV; SVV; SVV [%] Variation du volume d'éjection systolique; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_SVRI ;SVRI ( 1700-2400 ) ;SVRI ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_EVLWI ; EVLWI (3-7) ; EVLWI [ml/kg] Index de l'eau pulmonaire extravasculaire ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_ITBVI ; ITBVI ( 850-1000 ) ; ITBVI [ml/m2] Index du volume sanguin intrathoracique ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_GEDVI ; GEDVI (680-800) ; GEDVI [ml/m2] Volume End-Diastolique Global Indexé ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_HI ;HI ( 3-5 ) ;HI ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_KOF ; KOF ; KOF ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_ICP ; ICP (Pression intracrânienne) ; ICP (Pression intracrânienne) ; ;
Valeurs vitales ;NIRS ;rSO2 frontal re. ;NIRS ;rSO2 frontal re. ; ;
Valeurs vitales ;NIRS ;rSO2 frontal gauche. ;NIRS ;rSO2 frontal gauche. ; ;
Valeurs vitales ;NIRS ;Mirus (MAC) ;NIRS ;Mirus (MAC) ; ;
Valeurs vitales ;Test1_alt ;TestPara1 ;Test1_alt ;TestPara1 ; ;
Valeurs vitales ; Pression sanguine / Fréquence cardiaque_ancien ; Pression intra-abdominale ; Pression intra-abdominale_ancienne ; Pression intra-abdominale ; ;
Valeurs vitales ;Commentaire ;Commentaire_3 ;Commentaire ;Commentaire ; ;
Valeurs vitales ; Hémodynamique PICCO_alt ; MDD_CFI ; CFI_alt ; CFI [1/min] ; ;
Valeurs vitales ;Narkotrend ;Stade /Index ;Narkotrend ;Stade /Index ; ;
Valeurs vitales ;Narkotrend ;Narkotrend ;Étape / Indice ;Étape / Indice ;A ;A
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;B0 ;B0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;B1 ;B1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;B2 ;B2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C0 ;C0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C1 ;C1
Signes vitaux ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C2 ;C2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D0 ;D0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D1 ;D1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade / Indice ;Stade / Indice ;D2 ;D2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Indice ;Stade /Indice ;E0 ;E0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;E1 ;E1
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Index ; Stade / Index ; E2 ; E2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;F0 ;F0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;F1 ;F1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;Commentaire ;Commentaire
Valeurs vitales ;Narkotrend ;Type d'EEG ;Narkotrend ;Type d'EEG ; ;
Valeurs vitales ;Narkotrend ;Narkotrend ;Type d'EEG ;Type d'EEG ;1-Canal ;1-Canal
Valeurs vitales ;Narkotrend ;Narkotrend ;Type d'EEG ;Type d'EEG ;2-Canal ;2-Canal
"Vitalwerte ;Narkotrend ;STI (ETP) ;Narkotrend ;STI (ETP) ; ;

(Vitalwerte, Narkotrend, and STI (ETP) are technical terms which do not require translation)"
Valeurs vitales ;Narkotrend_alt ;A_1 ;Narkotrend_alt ;A ; ;
Valeurs vitales ;Narkotrend_alt ;Commentaire ;Narkotrend_alt ;Commentaire ; ;
Valeurs vitales ;Narkotrend_alt ;Stade / Index ;Narkotrend_alt ;Stade / Index ; ;
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;A ;A
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;B0 ;B0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;B1 ;B1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ;B2 ;B2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ;C0 ;C0
Valeurs vitales ; Narkotrend_alt ; Narkotrend_alt ; Stade / Index ; Stade / Index ; C1 ; C1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;C2 ;C2
Valeurs vitales ; Narkotrend_alt ; Narkotrend_alt ; Stade / Index ; Stade / Index ; D0 ; D0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;D1 ;D1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ; D2 ;D2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;E0 ;E0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;E1 ;E1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;E2 ;E2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;F0 ;F0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ;F1 ;F1
